Store Name,Store Type,City,State,Latitude,Longitude
Bp Garden Walk  ,Convenience Store,Atlanta,GA,33.59747,-84.4285
Bp To-go  ,Convenience Store,Atlanta,GA,33.62828,-84.4094
Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.59982,-84.42848
Exxon Food Mart  ,Convenience Store,Atlanta,GA,33.61209,-84.40353
Family Dollar Store 4220,Combination Grocery/Other,Atlanta,GA,33.60076,-84.42763
Family Dollar Store 2678,Combination Grocery/Other,Atlanta,GA,33.60734,-84.43582
Fayetville Food Mart  ,Convenience Store,Atlanta,GA,33.61403,-84.44926
Harbour Food Mart  ,Convenience Store,Atlanta,GA,33.60667,-84.43476
International Fresh Seafood  ,Seafood Specialty,Atlanta,GA,33.6075,-84.4359
Kom Pong Thom Market  ,Small Grocery Store,Atlanta,GA,33.61087,-84.43605
Lee Market & Cafe  ,Small Grocery Store,Atlanta,GA,33.60655,-84.43565
Neighborhood Food Mart  ,Convenience Store,Atlanta,GA,33.58604,-84.48098
One Stop Food Mart  ,Convenience Store,Atlanta,GA,33.60657,-84.43763
QUIKTRIP 724,Convenience Store,Atlanta,GA,33.60837,-84.43598
Ruta Inc  ,Convenience Store,Atlanta,GA,33.61339,-84.44893
Sun Food Market  ,Convenience Store,Atlanta,GA,33.6112,-84.43657
U S Amoco ,Convenience Store,Atlanta,GA,33.61646,-84.44992
Wayfield Foods 3,Super Store,Atlanta,GA,33.6072,-84.44427
Bharath Bazaar  ,Medium Grocery Store,Atlanta,GA,33.88206,-84.4744
Costco Wholesale 0631,Super Store,Atlanta,GA,33.8806,-84.47122
CVS PHARMACY 2086,Combination Grocery/Other,Atlanta,GA,33.90376,-84.46066
DOLLARTREE 11011,Combination Grocery/Other,Atlanta,GA,33.8821,-84.46084
JP Cobb Parkway 212,Convenience Store,Atlanta,GA,33.88563,-84.47157
QUIKTRIP 729,Convenience Store,Atlanta,GA,33.86573,-84.47066
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.84093,-84.48479
Walgreen 19823,Combination Grocery/Other,Atlanta,GA,33.86478,-84.47679
Al- Amin Supermarket & Restaurant  ,Large Grocery Store,Atlanta,GA,33.90119,-84.27623
Al-Falah Supermarket  ,Medium Grocery Store,Atlanta,GA,33.88714,-84.28837
Alam 5048 LLC  ,Convenience Store,Atlanta,GA,33.89016,-84.28632
ALDI 79071 79071,Supermarket,Atlanta,GA,33.85805,-84.31042
American Food Mart  ,Convenience Store,Atlanta,GA,33.71951,-84.31075
Amoco Food Mart  ,Convenience Store,Atlanta,GA,33.74741,-84.29182
Atlanta Supermarket  ,Small Grocery Store,Atlanta,GA,33.88412,-84.28494
Bangladesh Halal Meat  ,Medium Grocery Store,Atlanta,GA,33.89954,-84.27917
Bengal Store & Halal Meat  ,Medium Grocery Store,Atlanta,GA,33.88565,-84.28737
Beuna Suerte Food Mart  ,Convenience Store,Atlanta,GA,33.89727,-84.28497
Big H Food Mart  ,Convenience Store,Atlanta,GA,33.91099,-84.26374
BP Gas Station  ,Convenience Store,Atlanta,GA,33.75092,-84.32286
Briarcliff Quickmart  ,Convenience Store,Atlanta,GA,33.82445,-84.33456
Brito Super Market  ,Medium Grocery Store,Atlanta,GA,33.88517,-84.25683
Brito Supermarket  ,Combination Grocery/Other,Atlanta,GA,33.83637,-84.33702
Broadway Chevron  ,Convenience Store,Atlanta,GA,33.74743,-84.32666
Buchanan's Food Store  ,Convenience Store,Atlanta,GA,33.89193,-84.30128
Buddy's Food Store ,Convenience Store,Atlanta,GA,33.88526,-84.25337
Buford Highway Farmers Market  ,Super Store,Atlanta,GA,33.9056,-84.27371
"Carniceria Mi Pueblo, Inc.  2  ",Supermarket,Atlanta,GA,33.85994,-84.30885
Chamblee Quick Mart  ,Convenience Store,Atlanta,GA,33.91888,-84.31546
Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.88508,-84.28423
Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.89839,-84.25101
Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.88589,-84.24848
Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.87787,-84.27209
Circle Food Shop 32,Convenience Store,Atlanta,GA,33.92382,-84.33717
Circle K AAMCO NO,Convenience Store,Atlanta,GA,33.91824,-84.29685
Citgo Food Mart ,Convenience Store,Atlanta,GA,33.89772,-84.28426
"Confianza en Dios, inc ",Medium Grocery Store,Atlanta,GA,33.89097,-84.28529
CVS Pharmacy 2083,Combination Grocery/Other,Atlanta,GA,33.89056,-84.32456
CVS Pharmacy 2526,Combination Grocery/Other,Atlanta,GA,33.86501,-84.30943
CVS Pharmacy 5376,Combination Grocery/Other,Atlanta,GA,33.83352,-84.3411
CVS PHARMACY 4513,Combination Grocery/Other,Atlanta,GA,33.81849,-84.3123
CVS PHARMACY 4537,Combination Grocery/Other,Atlanta,GA,33.94708,-84.33437
CVS Pharmacy 7689,Combination Grocery/Other,Atlanta,GA,33.78099,-84.32117
CVS/Pharmacy 4733,Combination Grocery/Other,Atlanta,GA,33.95859,-84.30173
Dekalb Convenience Store  ,Convenience Store,Atlanta,GA,33.86021,-84.29344
Discount Food Mart  ,Convenience Store,Atlanta,GA,33.73037,-84.33558
Dollar Tree 6737,Combination Grocery/Other,Atlanta,GA,33.94317,-84.27077
Dollar Tree 1797,Combination Grocery/Other,Atlanta,GA,33.84697,-84.25574
Dollar Tree 3667,Combination Grocery/Other,Atlanta,GA,33.82738,-84.33337
Dollar Tree 4231,Combination Grocery/Other,Atlanta,GA,33.89596,-84.28113
DOLLARTREE 10310,Combination Grocery/Other,Atlanta,GA,33.71515,-84.34945
Dunwoody Shell  ,Convenience Store,Atlanta,GA,33.94289,-84.27161
East Atlanta Village Farmers Market 0135438,Farmers' Market,Atlanta,GA,33.7386,-84.34465
El Loteria  ,Convenience Store,Atlanta,GA,33.86368,-84.28748
El Mundo Food Mart  ,Convenience Store,Atlanta,GA,33.91362,-84.26118
El Progreso  ,Convenience Store,Atlanta,GA,33.89228,-84.29362
El Sol Supermercado 2  ,Large Grocery Store,Atlanta,GA,33.92526,-84.27714
Ez Shop  ,Convenience Store,Atlanta,GA,33.84561,-84.32579
Family Dollar 10281,Combination Grocery/Other,Atlanta,GA,33.88705,-84.28745
Family Dollar Store 7463,Combination Grocery/Other,Atlanta,GA,33.72546,-84.32185
Fiesta Food Mart 2  ,Convenience Store,Atlanta,GA,33.89023,-84.28928
Flatshoals Bp  ,Convenience Store,Atlanta,GA,33.7225,-84.31787
Food & Gas  ,Convenience Store,Atlanta,GA,33.68176,-84.30798
Food Mart  ,Convenience Store,Atlanta,GA,33.86135,-84.29262
Food Town Market  ,Supermarket,Atlanta,GA,33.68689,-84.31068
Gwinnett Convenience Store  ,Convenience Store,Atlanta,GA,33.92371,-84.25102
Halal Madina Market  ,Combination Grocery/Other,Atlanta,GA,33.73954,-84.31055
Indian Bazaar  ,Convenience Store,Atlanta,GA,33.9281,-84.31162
JP Dunwoody 208,Convenience Store,Atlanta,GA,33.89397,-84.32841
K-Food Mart  ,Convenience Store,Atlanta,GA,33.74743,-84.33278
KROGER 218,Super Store,Atlanta,GA,33.8554,-84.31357
KROGER  318,Super Store,Atlanta,GA,33.81562,-84.3138
KROGER  491,Super Store,Atlanta,GA,33.90601,-84.29583
KROGER 461,Super Store,Atlanta,GA,33.7571,-84.34785
Kroger 685,Super Store,Atlanta,GA,33.88548,-84.24346
KROGER STORE  488,Super Store,Atlanta,GA,33.72282,-84.34939
L & C Food Mart Llc  ,Convenience Store,Atlanta,GA,33.74782,-84.3336
La Surtidora  ,Convenience Store,Atlanta,GA,33.88968,-84.28854
Las Americas  ,Medium Grocery Store,Atlanta,GA,33.92601,-84.26952
"Leon International Foods, Inc.  ",Small Grocery Store,Atlanta,GA,33.8983,-84.24478
Lidl 1453,Super Store,Atlanta,GA,33.74707,-84.32663
Merkato Market Llc  ,Small Grocery Store,Atlanta,GA,33.85872,-84.31124
Mini Mart Tienda  ,Convenience Store,Atlanta,GA,33.93091,-84.2664
Mobil Food Mart  ,Convenience Store,Atlanta,GA,33.91901,-84.29714
Moreland Food Mart  ,Convenience Store,Atlanta,GA,33.7245,-84.34972
Neighbourhood Food Mart  ,Convenience Store,Atlanta,GA,33.7263,-84.3226
New Bismillah Supermarket  ,Medium Grocery Store,Atlanta,GA,33.86082,-84.30946
Peachtree Convenience  ,Medium Grocery Store,Atlanta,GA,33.93085,-84.26583
Peachtree Shell  ,Convenience Store,Atlanta,GA,33.91891,-84.29676
Petro Green Shell  ,Convenience Store,Atlanta,GA,33.86557,-84.29009
PUBLIX  601,Supermarket,Atlanta,GA,33.89056,-84.32456
PUBLIX  691,Supermarket,Atlanta,GA,33.84781,-84.25599
PUBLIX  0773,Supermarket,Atlanta,GA,33.8135,-84.31056
PUBLIX  0783,Supermarket,Atlanta,GA,33.73869,-84.31316
PUBLIX  0800,Supermarket,Atlanta,GA,33.86238,-84.28712
Publix 1363,Supermarket,Atlanta,GA,33.86987,-84.33539
Publix 1758,Supermarket,Atlanta,GA,33.93283,-84.33932
Publix Super Market 1777,Supermarket,Atlanta,GA,33.89878,-84.30157
Quik Trip 707,Convenience Store,Atlanta,GA,33.90232,-84.24462
QUIKTRIP 723,Convenience Store,Atlanta,GA,33.82729,-84.32915
QuikTrip 709R,Convenience Store,Atlanta,GA,33.88006,-84.27447
QUIKTRIP 745,Convenience Store,Atlanta,GA,33.80656,-84.33585
QUIKTRIP 734,Convenience Store,Atlanta,GA,33.93021,-84.26571
QUIKTRIP 773,Convenience Store,Atlanta,GA,33.89459,-84.3057
QUIKTRIP 797,Convenience Store,Atlanta,GA,33.86118,-84.30909
Quiktrip 848,Convenience Store,Atlanta,GA,33.902,-84.27532
QuikTrip 0838,Convenience Store,Atlanta,GA,33.8365,-84.31213
QuikTrip 1717,Convenience Store,Atlanta,GA,33.93293,-84.34023
RaceTrac 2448,Convenience Store,Atlanta,GA,33.86568,-84.30951
Rahmania Halal Meat & Grocery Atl Inc  ,Medium Grocery Store,Atlanta,GA,33.87736,-84.29344
Right Mart Shell  ,Convenience Store,Atlanta,GA,33.86623,-84.29024
Royal Food Mart  ,Convenience Store,Atlanta,GA,33.89508,-84.23904
Sam's Club 6643,Super Store,Atlanta,GA,33.84265,-84.31129
San Miguel   2  ,Medium Grocery Store,Atlanta,GA,33.8666,-84.29021
Sevananda Natural Foods Cooperative  ,Super Store,Atlanta,GA,33.76725,-84.34864
Sh2800 Llc  ,Convenience Store,Atlanta,GA,33.83078,-84.34418
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.92835,-84.26654
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.74361,-84.34903
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.86349,-84.28716
Shell Food Mart 1,Convenience Store,Atlanta,GA,33.86631,-84.30322
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.8784,-84.2711
Sonora Supermercado 01,Medium Grocery Store,Atlanta,GA,33.86489,-84.29947
Stop N Go Food Mart  ,Convenience Store,Atlanta,GA,33.74708,-84.33224
Super Mercado La Fiesta  ,Small Grocery Store,Atlanta,GA,33.90838,-84.26606
Supermacado El Guero  ,Convenience Store,Atlanta,GA,33.89726,-84.28493
Supermercado Chicago  ,Supermarket,Atlanta,GA,33.89604,-84.28105
Supermercado La Favorita  ,Medium Grocery Store,Atlanta,GA,33.89208,-84.29135
Supermercado Talpa 15 LLC 13,Super Store,Atlanta,GA,33.86418,-84.30798
Target Store T-1486,Super Store,Atlanta,GA,33.8284,-84.32506
Target Store T-2036,Super Store,Atlanta,GA,33.929,-84.3409
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.92285,-84.28233
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.74004,-84.31135
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.74023,-84.32674
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.71504,-84.30997
The Kosher Gourmet  ,Combination Grocery/Other,Atlanta,GA,33.81672,-84.33505
The Spicy Peach  ,Convenience Store,Atlanta,GA,33.81638,-84.31099
Tienda La Variedad/Food Mart 1,Convenience Store,Atlanta,GA,33.90079,-84.27582
Tienda Tikal  ,Convenience Store,Atlanta,GA,33.89209,-84.29136
Tienda Y Panaderia Delicias  ,Convenience Store,Atlanta,GA,33.86263,-84.2916
Walgreens 2359,Combination Grocery/Other,Atlanta,GA,33.89513,-84.30514
Walgreens 7741,Combination Grocery/Other,Atlanta,GA,33.89186,-84.32535
Walgreens 07167,Combination Grocery/Other,Atlanta,GA,33.9488,-84.3349
Walgreens 12262,Combination Grocery/Other,Atlanta,GA,33.82801,-84.33041
Walgreens 11757,Combination Grocery/Other,Atlanta,GA,33.90787,-84.29628
Walmart SUPERCENTER 3709,Super Store,Atlanta,GA,33.7188,-84.31042
Whole Foods Market 10649,Super Store,Atlanta,GA,33.8862,-84.31518
Zamzam Halal Supermarket And Restaurant  ,Medium Grocery Store,Atlanta,GA,33.90061,-84.27773
12hours Food Mart  ,Convenience Store,Atlanta,GA,33.68161,-84.40215
2 Ray's Mart  ,Convenience Store,Atlanta,GA,33.65105,-84.59443
24 Hour Food Mart  ,Convenience Store,Atlanta,GA,33.6809,-84.38851
24/7 Food Mart  ,Convenience Store,Atlanta,GA,33.68136,-84.3884
3 Way Grocery  ,Convenience Store,Atlanta,GA,33.70907,-84.3939
448 QM LLC  ,Convenience Store,Atlanta,GA,33.74216,-84.36774
490 Fairburn Rd Llc 0,Convenience Store,Atlanta,GA,33.74091,-84.51034
75 Farmers Market  ,Supermarket,Atlanta,GA,33.68012,-84.39573
A & M Corner  ,Convenience Store,Atlanta,GA,33.72644,-84.44553
A Food Mart  ,Convenience Store,Atlanta,GA,33.68072,-84.38477
A&b Foodmart 1,Convenience Store,Atlanta,GA,33.71394,-84.39378
AAA 2317 Inc  ,Convenience Store,Atlanta,GA,33.81816,-84.35142
Abernathy Bp  ,Convenience Store,Atlanta,GA,33.73656,-84.39379
Ak Food Store  ,Convenience Store,Atlanta,GA,33.76487,-84.45174
ALDI 76020,Supermarket,Atlanta,GA,33.92821,-84.38042
Aldi 76001,Supermarket,Atlanta,GA,33.84251,-84.37325
ALDI 69093 69093,Supermarket,Atlanta,GA,33.71399,-84.34953
Alison Food Mart  ,Convenience Store,Atlanta,GA,33.70105,-84.45657
Amigo Food Mart  ,Convenience Store,Atlanta,GA,33.70884,-84.35003
Amina Mart 1,Convenience Store,Atlanta,GA,33.70612,-84.45816
Ans Three D Inc 0,Convenience Store,Atlanta,GA,33.71599,-84.34953
Atlanta Food Mart  ,Convenience Store,Atlanta,GA,33.72255,-84.40759
Atlanta Texaco/ Ez Market 0,Convenience Store,Atlanta,GA,33.697,-84.40768
Atlantic Seafood  ,Seafood Specialty,Atlanta,GA,33.75437,-84.38001
Azalea Fresh Market  ,Supermarket,Atlanta,GA,33.75433,-84.38933
B And E Food Mart  ,Convenience Store,Atlanta,GA,33.78498,-84.46102
Bakkal International Foods  ,Small Grocery Store,Atlanta,GA,33.91025,-84.37888
Bankhead Shell  ,Convenience Store,Atlanta,GA,33.7727,-84.41685
Bengal Green Enterprises  ,Convenience Store,Atlanta,GA,33.83783,-84.48034
Benz Food Mart  ,Convenience Store,Atlanta,GA,33.76983,-84.40501
Best 4 Less  ,Convenience Store,Atlanta,GA,33.77551,-84.44873
Best For Less  ,Convenience Store,Atlanta,GA,33.78188,-84.40746
Best For Less  ,Convenience Store,Atlanta,GA,33.66654,-84.46506
Big A Food Mart  ,Convenience Store,Atlanta,GA,33.77064,-84.43398
Big A Food Mart  ,Convenience Store,Atlanta,GA,33.6517,-84.48164
Big AJ Store 2,Convenience Store,Atlanta,GA,33.65124,-84.44972
Big Bear Supermarket  ,Super Store,Atlanta,GA,33.7367,-84.41776
