lon_round,lat_round,longitude,latitude,names,categories,sources,n_sources
-84.61492,33.69206,-84.61492,33.69206,Clifton Station Inc  ,Convenience Store,snap_atlanta_df,1
-84.59443,33.65105,-84.59443,33.65105,2 Ray's Mart  ,Convenience Store,snap_atlanta_df,1
-84.59428,33.65076,-84.59428,33.65076,Sam's Supermarket  ,Convenience Store,snap_atlanta_df,1
-84.58299,33.72569,-84.58299,33.72569,Exxon Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.57817,33.69919,-84.57817,33.69919,Publix Super Markets Inc 1718,Supermarket,snap_atlanta_df,1
-84.57755,33.69922,-84.57755,33.69922,CVS Pharmacy 4147,Combination Grocery/Other,snap_atlanta_df,1
-84.57456,33.72939,-84.57456,33.72939,QUIKTRIP 777,Convenience Store,snap_atlanta_df,1
-84.56894,33.73156,-84.56894,33.73156,Cascade Shell  ,Convenience Store,snap_atlanta_df,1
-84.55894,33.70846,-84.55894,33.70846,Citgo Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.54808,33.59848,-84.54808,33.59848,Roosevelt Chevron  ,Convenience Store,snap_atlanta_df,1
-84.54677,33.59925,-84.54677,33.59925,Dollar General 21743,Combination Grocery/Other,snap_atlanta_df,1
-84.53568,33.69621,-84.53568,33.69621,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.53469,33.69605,-84.53469,33.69605,Family Dollar 10677,Combination Grocery/Other,snap_atlanta_df,1
-84.53437,33.69527,-84.534369271497,33.695270127475,Rhinehart Farms LLC,Grocery Store,df_grocery_selected,1
-84.53436,33.69527,-84.53436,33.69527,Rhinehart Farmer's Market  ,Fruits/Veg Specialty,snap_atlanta_df,1
-84.53435,33.69615,-84.53435,33.69615,DOLLAR GENERAL 8143,Combination Grocery/Other,snap_atlanta_df,1
-84.52995,33.76516,-84.52995,33.76516,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.52955,33.76601,-84.52955,33.76601,Fulton Bp Inc  ,Convenience Store,snap_atlanta_df,1
-84.52798,33.60879,-84.52798,33.60879,Peach Express 2,Convenience Store,snap_atlanta_df,1
-84.52486,33.61193,-84.52486,33.61193,Quick Pick Food Mart 0,Convenience Store,snap_atlanta_df,1
-84.52315,33.66404,-84.52315,33.66404,Fairburn Prime  ,Convenience Store,snap_atlanta_df,1
-84.52097,33.77016,-84.52097,33.77016,Happy Store Citgo  ,Convenience Store,snap_atlanta_df,1
-84.51994,33.61312,-84.51994,33.61312,FULTON BAY SEAFOOD  ,Combination Grocery/Other,snap_atlanta_df,1
-84.51678,33.69655,-84.51678,33.69655,Westside Farmers Market  ,Farmers' Market,snap_atlanta_df,1
-84.51153,33.65703,-84.51153,33.65703,Walgreens 9620,Combination Grocery/Other,snap_atlanta_df,1
-84.5111,33.69053,-84.5111,33.69053,Cousins Texaco  ,Convenience Store,snap_atlanta_df,1
-84.51085,33.65638,-84.51085,33.65638,PUBLIX 1056,Supermarket,snap_atlanta_df,1
-84.51083,33.65646,-84.5108308,33.6564551,Publix Carnia Princeton Lakes,Grocery Store,gdf_selected,1
-84.51056,33.72318,-84.51056,33.72318,Walgreens 07394,Combination Grocery/Other,snap_atlanta_df,1
-84.51037,33.69135,-84.51037,33.69135,Family Dollar 2349,Combination Grocery/Other,snap_atlanta_df,1
-84.51034,33.74091,-84.51034,33.74091,490 Fairburn Rd Llc 0,Convenience Store,snap_atlanta_df,1
-84.50979,33.7237,-84.50979,33.7237,Fina Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.50959,33.72373,-84.50959,33.72373,Publix 0503,Supermarket,snap_atlanta_df,1
